business_name,category,niche,address,city,phone,phone_2,website,email,whatsapp,social_media,contact_person,date_collected,source,source_url
Tunnel Lounge,"Food & Beverage","Lounge/Restaurant","Airport Residential Area","Accra","","","https://thetunnellounge.com/contact-us/","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Polo Club Restaurant & Lounge,"Food & Beverage","Restaurant/Lounge","Airport Residential Area","Accra","","","https://assets.ofadaa.com/accra/restaurants/polo-club-restaurant-lounge","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Churchill Lounge Bar and Restaurant,"Food & Beverage","Bar/Restaurant","Airport Residential Area","Accra","","","","","https://www.instagram.com/churchillloungeghana/","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
La Maison Restaurant & Lounge,"Food & Beverage","French Fine Dining","Airport Residential Area","Accra","","","https://travelbitesghana.com/post/la-maison-restaurant-lounge-french-fine-dining-in-accra-ghana/","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
XL-Accra's Exclusive Lounge,"Food & Beverage","Lounge","Airport Residential Area","Accra","","","https://www.ghanabusinessweb.com/accra-airport_residential_area-bars-xl_accra_s_exclusive_lounge-4675.html","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Airside Hotel,"Hospitality","Hotel","","Accra","+233 21 760480 / 783844","","https://airsidehotel.com.gh/","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Accra Marriott Hotel,"Hospitality","Hotel","","Accra","+233 30 273 8000","","https://www.marriott.com/en-us/hotels/accmc-accra-marriott-hotel/overview/","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Esther's Hotel,"Hospitality","Hotel","","Accra","","","https://www.esthers-hotel.com/","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Villa Monticello,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
The Palms By Eagles Accra,"Hospitality","Hotel","Patrice Lumumba Road","Accra","+233 556 616 100","","https://www.eaglesghana.com/the-palms-by-eagles","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Kwarleyz Residence,"Hospitality","Hotel/Serviced Apartments","Kofi Atta Annan Street 15","Accra","","","https://www.the-ascott.com/en/ghana/accra/kwarleyz-residence-accra.html","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Sky Suites Airport Residential,"Hospitality","Hotel","Kofi Annan St 14","Accra","0270997700","","www.skysuites.pro","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Villaggio/Villagio Hotel,"Hospitality","Hotel","","Accra","+233 302 785821","","http://www.villaggiovista.com/","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
African Regent Hotel,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Oak Plaza Hotel East Airport,"Hospitality","Hotel","Spintex Road","Accra","","","https://www.oakplazahotel.com/","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Best Western Premier Airport Hotel,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Airport View Hotel,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Airport West Hotel,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Airport Grande Hotel,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Lavender Lodge,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Court Gardens Hotel,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Ibis Styles Hotel,"Hospitality","Hotel","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
The Cabin Hotel,"Hospitality","Hotel","","Accra","","","https://www.thecabinhotelgh.com/contact-uss/","","","","","2026-04-05","OSM Overpass API + DuckDuckGo","https://overpass-api.de"
Parker Airport Resort,"Hospitality","Guest House","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Grand Mirage Luxury Residence,"Real Estate","Luxury Residence","Airport Residential Area","Accra","","","https://www.grandmirage.com.gh/contact/","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Euphoria Accra,"Real Estate","Luxury Apartments","Airport Residential Area","Accra","","","https://www.euphoriaaccra.com/contact","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Zenwood,"Real Estate","Real Estate Development","Airport Residential Area","Accra","","","https://www.zenwoodgh.com/","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Naz Homes,"Real Estate","Real Estate","Airport Residential Area","Accra","","","https://www.nazhomesgh.co/","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Airport Hills,"Real Estate","Real Estate Development","Airport Residential Area","Accra","","","https://airporthills.com/contact/","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
The Address,"Real Estate","Real Estate","Airport Residential Area","Accra","","","https://theaddress.devtracoplus.com/contact-us/","","","","","2026-04-05","DuckDuckGo Search","https://html.duckduckgo.com"
Cedar Court,"Real Estate","Apartments","Agostino Neto Road","Accra","0269938856","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Beaver Clinic,"Healthcare","Dental Clinic","Agostino Neto Road","Accra","+233302771785; +233544352250","0302 771 785","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Airport Women's Hospital,"Healthcare","Hospital","Kofi Atta Annan Street","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Claron Health International,"Healthcare","Doctors/Medical","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
St. Lukes Clinic,"Healthcare","Doctors/Medical","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Airport Clinic Limited,"Healthcare","Clinic","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Nyaho Clinic,"Healthcare","Hospital","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Jinlet Pharmacy,"Healthcare","Pharmacy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Reanie Chemist Limited,"Healthcare","Pharmacy","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Liange Beauty Salon,"Beauty & Wellness","Beauty Salon","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Escort Security Services,"Corporate/Company","Security Services","K.A. Ofori Atta Road 56","Accra","+233 30 279 7836; +233 54 010 8046","","https://escortsecurity.com.gh/","info@escortsecurity.com.gh","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Airport Police Station,"Government","Police","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Airport Post Office,"Government","Post Office","kotoka international","Accra","+233 54 252 7004; +233 30 266 8138; +233 57 957 9100","","https://ghanapost.com.gh","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Express Post Delivery Company,"Logistics","Courier/Delivery","kotoka international","Accra","","","https://expresspost.company","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Interpost Delivery Company Ghana Office,"Logistics","Courier/Delivery","Tetteh Quarshie Interchange","Accra","","","https://interpost.company","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
A & A Quick Clean,"Services","Dry Cleaning","","Accra","+233 244 812779; +233 244 283 738","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Yasore Forex Bureau,"Financial Services","Forex Bureau","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Dutch & Co,"Retail","Trading","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Rabena,"Retail","Toys","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Sam Art,"Retail","Art","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Tetteh Quarshie Art Market,"Retail","Art Market","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Soccabet,"Entertainment","Sports Betting","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
YFM,"Media","Radio Station","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
MTN Mobile Money Agent,"Financial Services","Mobile Money","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Marchmont Child Development Centre,"Education","Kindergarten","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Cribs N Sandbox,"Education","Kindergarten","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Association International School,"Education","International School","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Little Hands International School,"Education","International School","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Goshen School,"Education","School","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Englebert School,"Education","School","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Mary Mother of Good Counsel School,"Education","School","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Canadian Independent College,"Education","International School","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Three Bears School,"Education","School","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Fun House Nursery,"Education","Nursery","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Accra Mall,"Retail","Shopping Mall","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Accra Mall Food Court,"Food & Beverage","Food Court","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
National Service Bakery,"Food & Beverage","Bakery","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Mary Mother of Good Counsel Catholic Church,"Religious","Catholic Church","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Hajj Village,"Religious","Islamic Centre","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Access Bank ATM,"Financial Services","Banking","","Accra","","","https://www.ghana.accessbankplc.com/","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
National Service Bakery,"Food & Beverage","Bakery","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Soccabet,"Entertainment","Sports Betting","","Accra","","","","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
Untamed Empire,"Entertainment","Museum","Spintex Road","Accra","","","https://www.untamedempire.com/","","","","","2026-04-05","OSM Overpass API","https://overpass-api.de"
